,Presentations slides,Tools to be made,Typos checked (From column E - L),,,,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,,,,
10,HUMAN CENTERED DESIGN,OVERVIEW,Introduction to Human Centered Design (Exercise),This is a short introduction to the Human Centered Design (HCD) method through a workshop exercise format. It takes participants through a light journey of the 5 stages of HCD - focusing on the essence of the process.,"This is meant to be a brief overview of the HCD method. It involves a light exercise, and does not cover all HCD tools. For further details, refer to the 'Introduction to HCD' module, and the rest of this toolkit.",60 - 90 Min,Introduce people to the concept of HCD through a light exercise.,,,,,1,,,
11,HUMAN CENTERED DESIGN,FOUNDATION,Problem Tree + 5 Whys,"Problem Tree is a tool used to map effects and causes relevant to a problem. While traditionally the tool has been looked at through a problem lens, it can also be used to map opportunities, and trends. It is used in the planning stages to explore lines of enquiry and priorities. 5 Whys is a tool that is often used as part of the Problem Tree activity, it helps teams get to root causes.","Teams may struggle to map all effects and causes early in the process, without the benefit of research and reflection.",60 Min,"Unpack a problem or topic to build understanding in a group.
Identify potential root causes for challenges and opportunities.
Uncover unexplored opportunities and challenges.
","State the problem: Start by drawing a tree trunk, label it with the main problem or opportunity that you are looking to tackle.
List the effects: Start by listing visible effects of the problem, and then identify indirect impacts of the problem.
List the causes: List potential causes for the given problem or opportunity.
Dig deeper: To really get into the depth (or root cause), ask the '5 Whys'. Ask first why something is a cause, and keep asking why (derived from the preceding answer) till you have a strong, relevant root cause.
","The ‘Problem/Opportunity’ should be something specific that needs to be investigated. This could be a problem faced by the user, or an opportunity area defined by a team or organisation.
‘Effects’ are the visible and invisible impacts of the problem. They are mapped on the branches of the tree. For example, if the problem is defined as ‘Poor Public Transport’, then an effect would be - commuters getting late to work, stress in the city, chaos in certain times of the day.
‘Causes’ are underlying reasons behind the problem or opportunity. They are mapped on the roots of the tree. For example, the root cause of ‘Poor Public Transport’ could probably be, inadequate public funding’ or poor route planning.
The levels to which ‘Effects’ and ‘Causes’ can be unpacked depend on, the understanding the team has of the topic at hand.
","At the start: Using examples, explain the activity to participants. Make sure they first write down the effects and then the causes.
During the exercise: Ensure that the participants don‘t get stuck or fixate on a single train of thought.
At the close: Have participants share their root causes and talk through their process.
","What are the most immediate causes and effects you can think of as a group?
Have we gone deep enough? Can we unpack this effect / cause further?
Why do the 'effects' happen? Can we list those reasons as well as sub effects?
What root causes have we identified? Are any of those surprising or unexpected?
Since we have to use this as an input for planning research in the next phase, what are some themes (to be taken from effects or causes) that you feel we need to focus on during research?
How should we prioritise between causes? Which ones do you think are the most important? Is there a cause that we are all excited about trying to solve?
",,1,https://www.youtube.com/watch?v=8Q9HmmRYliI,Causes Diagram | DIY Toolkit
12,HUMAN CENTERED DESIGN,FOUNDATION,Stakeholder Map,"Stakeholder Maps are used to visualise ecosystems - people, institutions, organisations, and other entities that have an influence on or stake in a problem/opportunity area. While target users/audiences form the center of the map, entities mapped on two concentric circles around the user depict direct (1st circle) and indirect (2nd circle) stakeholders. A robust mapping of ecosystems helps approach research and design in a more holistic manner.",The Stakeholder Map does not exactly describe the nature of the relationship between target user and the stakeholders. It also has limited ability to describe relationships between stakeholders. The ERAF Diagram may be used to map more complex ecosystems.,60 Min,"Map the ecosystem of users and stakeholders relevant to a problem.
Identify gaps and priorities with regard to understanding an ecosystem.
","List stakeholders: The easiest way to get started is to list all the stakeholders that come to mind right away. This can be done on the sheet directly or on sticky notes.
Organise stakeholders: Once the stakeholders are listed, review their placement on the map with the team.
Prioritise stakeholders: Identify key stakeholders to focus on in the next few phases.
","The ‘Target User’ section is to be kept focused on individuals or groups that the startup or organisation is trying to solve for.
‘Direct Influencers’ are those that most influence the attitudes and behaviours of the target audience. One can also look at these influencers as those with only one degree of separation from the user — students may be influenced by their peers, college authorities, and parents while choosing a banking solution.
‘Indirect Influencers’ are those that influence the target audience but their influence may seem less obvious. There may be two or more degrees of separation between the target and these influencers — students may be influenced by celebrities, media reports, and sports advertising while choosing a banking solution.
‘Societal Norms’ are overarching forces that may not have a direct representative but are still important to take into account. For example, political climate, market trends, cultural norms.
","At the start: Using examples, explain the activity to participants. Make sure they first start from the center and move outwards.
During the exercise: Help them think of stakeholders if they get stuck. Create connections, and help them consider the influence of the stakeholders listed.
At the close: Have participants walk you through the process of mapping. Get them to describe the most critical influencers, and call out important interdependencies and connections they may have uncovered.
","Who have you chosen as the target user? Can you add some description so that everyone is on the same page?
Can you add some description of the stakeholders and the kind of influence they have on the user?
Which stakeholders do you think have the most influence on the target user?
Are there any indirect stakeholders that influence the stakeholders on your map?
Are there any personal connections, commercial services, government entities, that are missing from this picture?
What connections can we identify between the stakeholders?
",,1,https://www.youtube.com/watch?v=lSqclddbsmo,People and Connections Map | DIY Toolkit
13,HUMAN CENTERED DESIGN,DISCOVERY,Research Plan,"A well framed Research Plan makes sure teams are aligned on their key learning objectives, and the use of methods and tools. It helps teams map chosen methods along key lines of enquiry, identify research participants and locations, and distribute responsibilities within the team. The tool serves like a dashboard while doing research.","A Research Plan is only as good as the discussion preceding it. It best serves as a dashboard, and has limited capacity to inform teams in terms of the kind of tools, participant profiles, lines of enquiry, etc. that ought to be used.",90 Min,"Create a guiding plan for a research team.
Use as dashboard to map progress against plan.
","Define lines of enquiry: List down the critical gaps in understanding — these are the major lines of enquiry. These can be taken from the Problem Tree and Stakeholder Map or emerge from a team's discussions and experiences.
Identify research methodologies: Map the lines of enquiry against research methodologies. Discuss which methods to use and why.
Add details: Add more detail and structure to the research plan. Discuss specific tools and their scope, the profile of participants, and responsibilities within the team.
","The ‘Key lines of Enquiry’ are derived from the Foundation phase, where tools such as the Problem Tree, 5 Whys and the Stakeholder Map highlight information gaps, opportunities and other potential themes for research.
‘Research Methods’ are the broad research techniques that the team wants to use. These tools include - Secondary Research, User Research, Observation amongst others. The choice of methods is influenced by; the nature of information needed, skills and resources available in the team, access to users, etc.
‘Key Questions’ are the top 2-3 questions (per line of enquiry) that the team would like to focus the enquiry on.
The ‘Research Tools’ box should be used to list specific tools relevant to the Research Methods. For example, Interviews, Focus Group Discussions, Expert Interviews, Internet Search, Competition Benchmark, etc.
‘Research Participants’ are users, stakeholders, and experts that the team will research with (and/or on). The actual choice of participants may depend on accessibility and availability.
‘Person Responsible’ is meant to allocate responsibilities within a team.
","At the start: Explain the activity to the participants, and help them fill out at least one row.
During the exercise: Make sure that they refer to previous tools that might have touched upon challenges and opportunities, these would help frame the key lines of enquiry.
At the close: Have participants share plans and discuss how research methods tie into the lines of enquiry. Discuss confidence in using tools and help needed.
","What are the top 2-3 research goals emerging from your plan?
Are all challenges and opportunities before you being addressed in the research plan? If not, what are you focusing on?
How are you choosing methods for each line of enquiry? Are there lines of enquiry that need to be covered through multiple methods?
Is the plan realistic? Will the team be able to successfully complete all the research tasks?
How are we planning to distribute responsibilities? Are we comfortable with what is on the template?
What is our documentation strategy? Are you planning to record interviews? How will you collate findings from the different research activities?
",,1,https://www.youtube.com/watch?v=lktEwkPIzUg,How to prepare for a user research session | CareerFoundry
14,HUMAN CENTERED DESIGN,DISCOVERY,Expert Interviews,"Experts are academicians, thinkers, professionals, and entrepreneurs who can provide an informed view on a research subject. Expert Interviews are interactions with experts that inform research, design, and testing.",Experts usually have limited time available. They may on occasions need to be monetarily rewarded for sharing their experiences and expertise.,30 Min+,"Build a foundational understanding of a given subject matter.
Source inputs on specific challenges and opportunities.
Evaluate proposed ideas and innovations through expert lens.
","Prepare for interview: First, learn about the expert, their professional journey, published papers, lectures, etc. to inform the discussion you are about to have. Next, outline key lines of enquiry and questions for the expert.
Conduct the interview: Start the interview by introducing yourself and building credibility. Go through the questions you have and take notes (record audio if you have received consent).
","The crucial part of expert interviews is the preparation. Participants should familiarise themselves with an expert’s prior work, and prepare a few notes to refer back to during the interview.
The ‘Interview Questions’ are the most important questions to focus on in the interviews.
","At the start: Help participants clearly identify key lines of enquiry.
During the exercise: Check on the profile of experts that teams intend to reach out to. Help teams formulate the right questions.
At the close: Have participants rehearse interview. After the interviews are done, ask teams to share their learnings.
","What are the main information gaps you would like clarity on? Refer to the problem tree and stakeholder mapping if you are not sure where to start.
Why do you need to do expert research?
Who are the experts you want to speak to? Why these experts?
How and where will you reach your experts?
Do you have previous experience interviewing experts? Would you like to share any best practices with the group?
How much time will they be able to give to you? How do you want to prioritise questions accordingly?
Have you read or reviewed the experts' works? Are there questions that emerged from that activity?
",,,,
15,HUMAN CENTERED DESIGN,DISCOVERY,User Interviews,"Collecting first-hand accounts of experiences, needs and concerns from people can be a great source of inspiration. User Interviews are open ended conversations that take place in context (place of use of product or service, or user homes and places of work, etc.) and provide a deep understanding of user needs, attitudes, and behaviours. Interviews can be conducted with all stakeholders, not just users.","Interviews take time and effort to organise, conduct and synthesise. Codifying qualitative interview data can also be challenging.",60 Min+,"Build a deep foundational understanding of needs, attitudes, and behaviours of target users and stakeholders.
Identify ideas and co-create solutions with users, and stakeholders.
Evaluate early concepts and prototypes with users, and stakeholders. ","Prepare: Outline key lines of enquiry for users/stakeholders.
Open the interview: The focus of the opening part is to clearly communicate credentials and purpose, and establish trust.
Break the ice: This part is about making respondents feel comfortable by asking them some light/easy questions.
Ask open-ended questions: The main part of the interview is focused on getting into the shoes of the respondents and having a conversation.
Follow-up questions: This is about using follow up questions to get into behaviours in detail, discuss motivations and needs.
","For a smooth interview, an interviewer should prepare a simple Discussion Guide - a repository of questions to be asked in the interview. This will help keep track of the discussion and ensure all the intended topics are covered. Guides should be prepared by looking closely at lines of enquiry and key questions. Experienced researchers may only need brief guides with top level questions. To be safe, a repository of both key questions and follow up queries should be prepared.
The ‘Personal Introduction’ helps set the tone of the interview and establish mutual respect. If the session is to be recorded, this is a good time to request consent from the participant.
The ‘Icebreaker’ is about putting the participant at ease. Simple questions like their age, professional activity, their hobbies or what a typical day looks like can help get the conversation started.
The ‘Open-Ended Questions’ should be formulated in a way that helps participants open up and share their thoughts and experiences.
The ‘Follow-Up Questions’ help interviewers better understand participants by going into the depth of things that may have been shared.
","At the start: Help participants clearly identify the themes or lines of enquiry they would like to research.
During the exercise: Help them formulate questions that can result in insightful discussions.
At the close: Have participants practice their questions before going out into the field.
","What are the main information gaps you‘d like clarity on? Refer to the problem tree and stakeholder mapping if you are not sure where to start.
Who do you plan on speaking to? Why?
How and where will you reach the respondents? Are they known to you or will you have to find a way to recruit?
Are you offering respondents some compensation or reward for their time and input?
How will you introduce the purpose of the interview to respondents?
What are the key questions we want to ask? Are we looking at behaviours, motivations, needs through the questions we are asking?
Are there any sensitive topics in our discussion guide? How can we indirectly approach the topics? Are they necessary?
How long are the interview likely to last? If you have less time available, which questions would you like to focus on?
",,,https://www.youtube.com/watch?v=8GpC0dKMCHU,Interview Guide | DIY Toolkit
16,HUMAN CENTERED DESIGN,DISCOVERY,Secondary Research,"Secondary research is done by reviewing published knowledge and news content (i.e., not in person research with users and other stakeholders). Secondary research can be done via online and offline channels.","Secondary Research can be very time consuming and confusing — the nature, quality, and range of sources to include in research is crucial to consider.",30 Min+,"Map competitors to compare and understand relative strengths and weaknesses.
Build a foundational understanding of broad political, economic, social, cultural, technological, environmental and legal trends.
Understand events, opinions, decisions, trends, etc. with regard to specific products, services, and organisations.
Understand an emerging theme or topic from a multi-dimensional angle.
","Identify knowledge gaps: Before starting secondary research, review the research plan, and make a note of lines of enquiry and key questions.
Choose your approach: Depending on what needs to be researched, choose particular sources and approaches (online, offline, articles, books, etc.) that come to mind.
Document progress: Keep track of sources and document key information collected (use the templates) so that other team members can refer back to your research.
","‘Competition Benchmark’ is a type of secondary research where the focus is on understanding competitors.
‘Trend & Ecosystem Scanning’ is the kind of secondary research that focuses on understanding broad ecosystem level events and changes.
There could be several sources; consumer reports, news sites, blogs, etc., and channels; online and offline that researchers can use to collect information.
As research is carried out, researchers should make a note of key data points and learnings that they come across.","At the start: Explain the activity to participants, if participants are feeling stuck, help them by filling out a row with them.
During the exercise: Make sure teams refer to the research plan for the lines of enquiry and key questions.
At the close: Have participants share their plan (before they move forward with research) and check if their approach is comprehensive.
","Looking at the Problem Tree and the Stakeholder Map, are there areas we need more clarity on?
What lines of enquiry and key questions emerged during research planning? Are there additional things we need to consider?
What kind of sources and channels will you use to do your research?
How will the information collected help you move the project forward?
",,,,
17,HUMAN CENTERED DESIGN,DISCOVERY,Observational Research (POEMS),"The POEMS tool is used to record observations in the field. A lot can be learned from observing the way people interact with and use services and systems like public transit systems, banks, restaurants, airports, waste management, etc. Observations add depth to conversations and are often able to document real behaviours better. POEMS works like a checklist for researchers when they are on the field.","POEMS is a good tool to map behaviours and systems in the physical domain. While working on digital products, Shadowing and Service Safaris may be better suited.",60 Min+,"Understand how users interact with existing products and services.
Build a broad understanding of service provider systems and tasks.","Pick a place and time: Decide a time and place to conduct the observations, be informed by the research plan.
Collect initial observations: Write down observations from your surroundings into the respective boxes in the tool. For each box, challenge yourself to go beyond the obvious: list everything you see at first glance, then give it another shot and add to each box something you hadn't noticed the first time around. Keep doing that until your documentation is comprehensive.
Ask why: Once you've completed the template, ask yourself why things are the way they are, and record learnings from discussion.","The ‘People’ section refers to the people involved. For example, these could be users, service providers, vendors and partners, and other stakeholders (like govt staff or police). Researchers should describe the roles and behaviours of the people observed.
The ‘Objects’ section of the tool is where observations pertaining to physical objects or touch-points that are part of the experience are to be recorded. Researchers should list objects as comprehensively as possible, focused first on things directly involved in the user journey, and then those that play a supporting part.
The ‘Environment’ section of the map is where notes regarding the physical space and setting should be written down. The type of space, the layout, the mood or tone of the space, etc. can be the kind of things that researchers could record.
The ‘Messaging’ section looks at communication targeted at the user in the observed space. Messaging could be physical, branding signage, advertising, sales material, or it could be delivered through conversations between users and service staff.
The ‘Services’ section looks at the systems and processes that form part of the experience. Although the observer may be intending to study one service (for example using public transit), that very service might involve many more smaller services (payment methods, luggage handling, ticket purchase, check in-check out, etc).
","At the start: Explain the activity to the participants, explaining that they should write down any observations that they spot.
During the exercise: If accompanying participants in the field, help them with spotting observations and writing them down in the correct areas of the tool.
At the close: Have participants share their observations and ask them to highlight what they found to be the most interesting or surprising.
","Have you chosen a place or a setting to observe users?
Are there diverse situations where one can observe different kinds of user experience journeys?
What part of the POEMS framework are you least sure about?
How will you ensure that your observation is successful? Will you be accompanying certain users? Or, will you be generally observing?
What are the most notable observations you have recorded?
Is there any part of the experience you would like to observe in greater detail?
",,,,
18,HUMAN CENTERED DESIGN,DISCOVERY,Service Safari and Shadowing,"The Service Safari tool allows researchers to step into the shoes of users by experiencing a service or system themselves. First hand experience helps researchers develop a robust understanding of the joys and pain points felt by users. Shadowing is similar but involves researchers accompanying a user as they go through a product or service journey, and jointly reflecting on their experience.","A single Service Safari or Shadowing session may throw up limited insight. Different locations and sets of people may offer different experiences. It is crucial that researchers take a realistic view of experiences, and do not project their own biases and preferences.",30 Min+,"Understand a user's experience better.
Identify the various steps involved in a given experience or service.
Learn how users may be maximising positive experiences, and minimising negatives within a given system.
","Choose a tool: Choose between the Shadowing or Service Safari approach, depending on the research context.
Find a respondent: Recruit a participant willing to be accompanied (for shadowing) and document their actions as they go through the journey. If you are doing it yourself, then decide how you will document it.
Map the user experience: List down the distinct steps, actions, objects, people that constitute the experience.
Ask questions: After the experience has been completed, you can revisit steps you would like to learn more about.
","A user experience journey is broken down into specific steps — Step 1, Step 2, Step 3, etc. in order to map observations in an end-to-end manner.
The ‘Details’ column lists questions such as — What did you do? Or What did you like or dislike? which are prompts for researchers to note their observations and experiences through the journey.
","At the start: Explain the activity to participants and check if they intend to use shadowing or service safari or both.
During the exercise: If accompanying participants on the field, encourage them to look for unexpected details that might otherwise get missed.
At the close: Have participants share their observations and ask them to highlight what they found to be the most interesting or surprising.
","Does the team plan to use one or both tools?
Which part of the journey are you looking to observe and learn more about?
Who will you be going through the experience? Have you identified a user?
Have you experienced a similar service or system before? What expectations are you carrying to the field?
What is the most important thing you want to learn from this exercise?
How will you make sure you are respectful and unobtrusive during research?
What did you learn about the different steps? Is there something you would like to understand better?
Which step of the journey is most challenging for users? Do you have any immediate thoughts on how it could be improved?
",,,https://www.youtube.com/watch?v=s7vSDdyU7ug,People Shadowing | DIY Toolkit
19,HUMAN CENTERED DESIGN,DISCOVERY,Card Sorting,"Card Sorting is a research activity in which respondents are given cards that carry certain visual cues, and are then asked to arrange the cards in an order relevant to the research enquiry. Card sorting replaces survey type questions that ask respondents to order, group or simply react to certain product, service, or system aspects. The visual nature of cards helps minimise loss in translation, and increases engagement during research.",Visuals on cards can impact understanding - contextualisation and localisation are a must. Any Card Sort with more than 10-20 cards risks overwhelming respondents.,30 Min+,"Map user preferences with regard to competing options.
Map sequence of events in a journey of use.
Map users' perceptions with regard to a product or service.
","Define an objective: Card sorting is a very versatile tool. You should be clear on why you are using it.
Prepare a deck: A card deck should have 10-20 cards where each card is distinct. Make sure that images are clear and easily understood.
Lay the cards out: Before starting the activity, lay the cards out and explain specific objectives of the exercise.
Discuss and organise: As respondents do the card sort, discuss their thought process.
","The most critical thing while deciding on a card sort is to define purpose clearly. Purpose should ideally be derived from the lines of enquiry identified in the research plan. A card sort can be done to: 1) Map preference - what kind of on-boarding approaches do users like, 2) Map sequence - what should be the steps in an ideal hotel check in, 3) Map categories - which brands are premium and which are value for money?
Visual cards are recommended for use in contexts where respondents can't fully describe their choices using words. For example, can users pick between different digital on-boarding journeys without visual support?
Visuals on cards can be images, sketches, screenshots, etc. These visuals represent things that are to be prioritised, sequenced or categorised.","At the start: Make sure the participants understand the flow of the activity and the directions. Refer to facilitation questions if they are feeling stuck.
During the exercise: Help the teams create the cards and plan the discussion with the research participants.
At the close: Have participants explain how the session played out, and the responses from the discussion.
","What purpose could card sorting potentially help you achieve? Are you looking to prioritise, sequence or categorise something?
How many cards are you planning to create? Are all of them essential? Which are the most important?
What kind of visuals are you planning to use? Are the visuals simple enough for users to understand?
Are the visuals you are using localised/contextualised to the respondents you will be meeting?
Are you planning the card sort as a separate activity? Or are you planning to integrate it within user interviews?
What are some questions you would like to ask respondents as they go about the card sort?
Do you want to rehearse the activity?
",,,https://think.design/user-design-research/card-sorting/ ,Card Sorting | Think.Design
20,HUMAN CENTERED DESIGN,DISCOVERY,Scenarios,"Scenarios are short stories (usually visual) used to share a product or service journey (similar to Storyboards) with research respondents, and collect their thoughts and feedback. A scenario can be either an end-to-end representation of a service journey or a focused view of one part of the journey.",Scenarios should be clear and visual or else they could end up confusing respondents.,20 Min,"Collect feedback from users with regard to a current or intended journey of use.
Evaluate different versions of a current journey.
Imagine new journeys (as storyboards).","Prepare the scenario cards: Make a note of the most important things a service offers and how. Create simple visuals to describe the main steps and actions. Make variations of visuals where relevant.
Present to users: Present the scenarios to respondents and have them provide feedback on each aspect of a scenario, and compare scenarios (if there are multiple).
Collect feedback: Once the scenarios have been presented, have the respondents share their feedback by asking them what they think of the concept.
","Text and visuals are both used to build scenarios, so that there is minimal loss in translation. Headline text to describe the overall scenario and descriptive text explaining a milestone.
Visuals on a scenario should be as contextualised and localised as possible. Icons and sketches that are alien or new, can confuse respondents.
In any session 3-4 scenarios may be enough to place before a respondent.
Scenarios are often used as part of User Interviews. They are what researchers call 'probes'. They help researchers touch upon aspects of experience and need, which an oral conversation may not be able to cover.
Scenarios are very closely associated with the 'Storyboard' tool from prototyping.
As respondents study and provide feedback on scenarios, researchers should be prepared to engage in follow-up conversation as and when relevant.
","At the start: See if the team is clear on which scenarios they wish to place before respondents and why. If they have not decided, help them brainstorm.
During the exercise: Help teams develop their ideas into short scripts that will be the basis of the scenario. Ask them to identify headline and body text where required.
At the close: Have participants test together how they plan on using the tool during the research session.
","What part of the service or system do you want to test as scenarios?
What are the different scenarios you plan on using? Why did you choose these particular scenarios?
Do you have your scenario scripts in place?
Who is going to visualise the scenarios? Are the visuals easily understood?
What kind of headline and descriptive text are you using?
How will you introduce the exercise to respondents?
What specific parts of the scenario do you want respondents to focus on?
Do you have a list of follow up questions and prompts ready?
",,,https://www.youtube.com/watch?v=dmlFRCZI9gQ,Scenario Mapping for Design Exploration | NN Group
21,HUMAN CENTERED DESIGN,DISCOVERY,Surveys,Surveys are a form of research which are used to quickly document inputs from large samples of users. Surveys help build an early estimate of quantitative trends relevant to the research enquiries.,"While great to quickly capture multiple inputs, Surveys lack the depth of in-depth interviews. Researchers tend to bring their bias into survey design by asking leading questions.",60+ Min,"Build a broad sense of users’ perceptions and needs.
Collect data from a large sample of respondents in a short time.
Estimate the scale or size of opinion and need.
Screen potential respondents for interviews and FGDs.","Review lines of enquiry: List all the key lines of enquiry you wish to gain more clarity on through the survey.
Define questions: Once ready, translate the lines of enquiry into clear and concise questions. Avoid leading or biased language.
Disseminate the surveys: Online surveys can be disseminated via email, social media channels, chat, etc. Surveys can also be conducted in person by meeting users.
Review responses: Review results as a team and look for patterns in the responses.
","A survey is a questionnaire with respondents choosing answers from a predetermined set of responses (multiple choice). Surveys are not open ended conversations like user interviews.
A survey typically collects some basic demographic and contact information from respondents at the start or end.
A survey is typically conducted with a much larger base of respondents than user interviews. If 10-15 respondents are being interviewed, a survey can look to target 100 or more respondents.
Questions in a survey are not meant to be open ended as those in an interview. While interviews have the benefit of researchers being able to probe and ask follow up questions, surveys are one way responses, from respondent to researcher.
Surveys can be easily drafted on online survey tools (for example - Survey Monkey, Typeform, Google Forms, etc.). Online tools make it easy to manage responses. Surveys can also be administered physically (paper forms).
Unlike user interviews where the focus is on deep insight, surveys are useful to address basic quantitative questions (for example, market size, preference level, etc.).
","At the start: Explain the activity to the participants, make sure a survey is relevant to their needs.
During the exercise: Help the participants frame questions, and identify who they will be surveying.
At the close: Have participants discuss their questions, and if they have administered the survey, then share some key data points and learnings.
","What is the goal of doing a survey?
Are you going to be doing interviews and a survey? How many respondents are you looking for, in each activity?
How will the focus of the survey differ from the interviews and group discussions?
Who will you be surveying? How will you reach them?
Have you reviewed your questions, are they leading or biased in any way?
How will you analyse the data?
",,,https://www.youtube.com/watch?v=bi2JMRpL9Ik,Surveys | UX Mastery
22,HUMAN CENTERED DESIGN,DISCOVERY,Focus Group Discussions,"Focus Group Discussions (FGD) are a format of research where researchers interact with a group (> 4) of respondents. Respondents in a group can be users or they could even be experts. A Focus Group is great to capture the diversity of views, as well as build consensus on themes relevant to the research area. Group discussions provide an opportunity for respondents to build on each other's views, and go deep into a subject.","If not facilitated well, participants in an FGD may not feel comfortable opening up and interacting with each other. Another risk is that for the sake of civility, respondents may avoid disagreements - compromising the quality of discussion.",60 Min,"Build a multi-dimensional understanding of a subject.
Understand differences in opinions and points of consensus.
","Recruit participants: Make sure participants in the focus group can provide relevant feedback and information on the topic.
Clarify questions: List down lines of enquiry and follow up questions that can be used as a guide for discussion.
Conduct the focus group: Choose a comfortable setting. Open by introducing yourself and ask each respondent to introduce themselves. As you raise questions, give respondents enough time to provide inputs. Keep notes.
Review the discussion: After the session, synthesise and discuss learnings with the team.
","The ‘Lines of Questioning’ is the section where the questions to be asked are to be noted.
The ‘Respondents’ section can be used to write down the names and backgrounds of the respondents.
The boxes under each of the respondents can be used to make a note of the discussion. This will help keep track of individual answers.
Group discussions are usually held with 4 or more respondents. Anything more than 8 participants can lead to situations where there is cross talk, and the conversations are difficult to keep track of.
","At the start: Explain the activity to teams and discuss how to prepare for a discussion like this.
During the exercise: Help teams frame questions and discussion points for the FGD.
At the close: Have participants share their key questions. Once the group discussion is over, ask them to highlight what they found to be most interesting or surprising.
","Have you identified the right participants for the Focus Group?
Do the participants know each other? How will you build trust between them?
Have you prepared a flow or general direction for the discussions?
Are you covering the same topics in the group discussions as you did in the interview, or are you focusing on different questions?
How will you keep the discussions from going off-track?
How are you documenting the discussions?
",,,https://www.youtube.com/watch?v=SLHq8OH66vA,Focus Groups | Playbook
23,HUMAN CENTERED DESIGN,DISCOVERY,Timeline,"Timeline is an activity used to understand the evolution of a subject over a period of time. It helps researchers map historical and future trends, and discuss the underlying patterns and insights.",Use of the Timeline tool depends a lot on the researcher's ability to collect and map information in terms of phases and trends. It is also up to the researcher to ask follow-up questions (5 Whys is a good tool) and get to meaningful learnings from patterns that may be emerging.,30 Min,"Map secondary research data collected by researchers.
Map data with research respondents in the course of a User Interview, Expert Interview or Focus Group Discussion.
Map the evolution of a product, service, system, technology, program, concept, organisation, etc.
Map potential future evolution of a product, service, system, technology, program, concept, organisation, etc.
","Choose a research focus: Start by defining the topic being mapped and relevant period of study (past or future, months/years/decades).
Map details: If you are doing it based on secondary research, organise all the data you have found. If you are doing it in an interview, ask respondents to map their memories, and thoughts under each period.
Follow up questions: Ask follow up questions to get more detail about a particular time period, such as - What did it feel like? Why was it important? How did one come to experience it? Where was one then?  Who were some of the early adopters?, etc.
Discuss the trends: Go over the timeline, and fine-tune the sequence of information. Question what it means in terms of trends and insights.
","‘Periods’ are the distinct phases of time that the researcher is trying to map. This could be in terms of decades/months/weeks (for example, 1990s, 2000s, 2010s) or even life stages (for example, childhood/teenage/youth). The choice of time frames is flexible and to be decided by the researcher.
‘What?’ is the section in which inputs on objects/events/actions/behaviours/beliefs that fit into a particular period are noted down (for example, music in the 90s was about the Sony Walkman, in the 2000s, it was about the iPod, in 2010s, all music was on smartphones).
‘Where?’ is the section in which the input from the participant is focused on description of location — physical spaces, geographies, sectors, internet. For example, music in the 90s was about the local music store and cafes, in the 2000s, about iTunes and pirated MP3s, and in the 2010s, about streaming platforms like Spotify.
‘Who?’ focuses on the individuals, groups, communities, cultures, entities that are most closely associated with the subject in a particular period. For example, music in the 90s was most influenced by MTV, in the 2000s, by MP3 collections on college LANs, in the 2010s, by recommendations on platforms, and all through, by radio.
Researchers should be prepared to ask follow up questions as participants describe a time period — When? Why? How? Themed questions can be drafted to take conversations further.
","At the start: Make sure participants understand the goal of the activity and the directions. Refer to facilitation questions if they are feeling stuck.
During the exercise: Help teams define the period of time under study. Help them frame questions for their discussions with the respondents.
At the close: Have participants take you through their questions. Once the research is complete, ask the participants to take you through the details for each time period, and overall insights.
","What is the focus of your exercise? Why will doing a timeline help?
What sort of information and insight are you looking to get by using this tool?
Are you making a timeline based on secondary research, or do you plan to do this as part of an interview or focus group?
Is your timeline only historical, or is there some future-focused element in it?
If it is with users — who are they? Will they have the necessary perspective? If with experts — have you briefed them so that they can prepare? Or if secondary research based — where will you look for this information?
",,,,
